"ÀREA	";"ÀREA_descripció";"UNITAT";"UNITAT_descripció";"DEPARTAMENT";"	DEPARTAMENT_descripció"
"1";"Alcaldia";"10";" Presidència";"100";" Presidència"
"1";"Alcaldia";"10";" Presidència";"101";"Porteria major, ordenances i neteja"
"1";"Alcaldia";"10";" Presidència";"102";"Oficina informació i atenció ciutadana"
"1";"Alcaldia";"11";"Defensor ciutadania";"110";" Oficina defensor ciutadania"
"1";"Alcaldia";"12";"Dinamització del territori";"120";"Dinamització del territori"
"1";"Alcaldia";"12";"Dinamització del territori";"121";"Humanitats i lectura"
"1";"Alcaldia";"12";"Dinamització del territori";"122";" Patrimoni cultural"
"1";"Alcaldia";"12";"Dinamització del territori";"123";"Arts escèniques 2016"
"1";"Alcaldia";"12";"Dinamització del territori";"124";"Acció cultural"
"1";"Alcaldia";"12";"Dinamització del territori";"125";"Arts visuals i audiovisuals"
"1";"Alcaldia";"12";"Dinamització del territori";"126";"Arts musicals"
"1";"Alcaldia";"13";" Gestió documental, arxius i publicacions";"130";" Gestió documental, arxius i publicacions"
"1";"Alcaldia";"14";"Turisme";"140";"Turisme"
"2";"EDUCACIÓ I ESPORTS";"20";"Educació i esports";"200";"Educació"
"2";"EDUCACIÓ I ESPORTS";"20";"Educació i esports";"201";"Esports"
"2";"EDUCACIÓ I ESPORTS";"21";"Joventut i participació";"210";"Joventut"
"2";"EDUCACIÓ I ESPORTS";"21";"Joventut i participació";"211";"Participació"
"3";"Urbanisme";"30";"Urbanisme";"300";"Urbanisme"
"3";"Urbanisme";"31";"Mobilitat i via pública";"310";"Mobilitat i via pública"
"4";"Hisenda i serveis administratius";"40";" Hisenda";"400";"Hisenda"
"4";"Hisenda i serveis administratius";"41";" Règim interior";"410";" Administració general"
"4";"Hisenda i serveis administratius";"41";" Règim interior";"411";"  Patrimoni"
"4";"Hisenda i serveis administratius";"41";" Règim interior";"412";" Recursos humans"
"4";"Hisenda i serveis administratius";"41";" Règim interior";"413";" Sistemes i tecnologies de la informació"
"4";"Hisenda i serveis administratius";"41";" Règim interior";"414";"Atenció ciutadana"
"4";"Hisenda i serveis administratius";"41";" Règim interior";"415";"Secretaria administrativa i estadísitica"
"4";"Hisenda i serveis administratius";"42";"Sostenibilitat";"420";"Sostenibilitat serveis centrals"
"4";"Hisenda i serveis administratius";"42";"Sostenibilitat";"421";"Serveis urbans i ambientals"
"4";"Hisenda i serveis administratius";"42";"Sostenibilitat";"422";"Paisatge i biodiversitat"
"4";"Hisenda i serveis administratius";"42";"Sostenibilitat";"423";"Qualitat ambiental i salubritat"
"5";"Igualtat, drets socials, treball, joventut i seguretat";"50";"Serveis socials i habitatge";"500";"Gestió administrativa serveis socials"
"5";"Igualtat, drets socials, treball, joventut i seguretat";"50";"Serveis socials i habitatge";"501";"Serveis socials atenció primària "
"5";"Igualtat, drets socials, treball, joventut i seguretat";"50";"Serveis socials i habitatge";"502";"Planificació estratègica i innovació serveis socials"
"5";"Igualtat, drets socials, treball, joventut i seguretat";"50";"Serveis socials i habitatge";"503";"Centres cívics"
"5";"Igualtat, drets socials, treball, joventut i seguretat";"50";"Serveis socials i habitatge";"504";"Habitatge"
"5";"Igualtat, drets socials, treball, joventut i seguretat";"50";"Serveis socials i habitatge";"505";"Serveis socials programes i memòries"
"5";"Igualtat, drets socials, treball, joventut i seguretat";"51";"Seguretat";"510";"Seguretat"
"5";"Igualtat, drets socials, treball, joventut i seguretat";"51";" Serveis socials";"511";"Prevenció riscos laborals"
"5";"Igualtat, drets socials, treball, joventut i seguretat";"52";"Joventut i seguretat en el treball";"520";"Joventut"
"5";"Igualtat, drets socials, treball, joventut i seguretat";"52";"Joventut i seguretat en el treball";"521";"Seguretat en el treball"
"5";"Igualtat, drets socials, treball, joventut i seguretat";"53";"Ocupació";"530";"Ocupació"
"5";"Igualtat, drets socials, treball, joventut i seguretat";"54";"UMAT";"540";"UMAT"
"6";"Promoció econòmica, desenvolupament local i turisme";"60";"Promoció econòmica, desenvolupament local i turisme";"600";"Promoció econòmica, desenvolupament local i turisme"
"6";"Promoció econòmica, desenvolupament local i turisme";"60";"Promoció econòmica, desenvolupament local i turisme";"601";"Turisme"
"6";"Promoció econòmica, desenvolupament local i turisme";"60";"Promoció econòmica, desenvolupament local i turisme";"602";"Empresa"
"6";"Promoció econòmica, desenvolupament local i turisme";"60";"Promoció econòmica, desenvolupament local i turisme";"603";"Comerç"
"7";"Sostenibilitat, medi ambient, participació i cooperació";"70";"Administració central sostenibilitat i inspecció";"700";"Administració central sostenibilitat i inspecció"
"7";"Sostenibilitat, medi ambient, participació i cooperació";"71";"Paisatge i habitat urbà";"710";"Paisatge i habitat urbà"
"7";"Sostenibilitat, medi ambient, participació i cooperació";"72";"Salut";"720";"Salut"
"7";"Sostenibilitat, medi ambient, participació i cooperació";"73";"Cooperació";"730";"Cooperació"
"7";"Sostenibilitat, medi ambient, participació i cooperació";"74";"Serveis urbans";"740";"Serveis urbans i ambientals"
"8";"Cultura";"80";"Cultura";"800";"Serveis centrals cultura"
"8";"Cultura";"80";"Cultura";"801";"Humanitats i lectura pública"
"8";"Cultura";"80";"Cultura";"802";"Patrimoni i museus"
"8";"Cultura";"80";"Cultura";"803";"Arts escèniques  "
"8";"Cultura";"80";"Cultura";"804";"Normalització lingüística"
"8";"Cultura";"80";"Cultura";"805";"Arts visuals i audiovisuals"
"8";"Cultura";"80";"Cultura";"806";"Arts musicals"
