"ÀREA	";"ÀREA_descripció";"UNITAT";"UNITAT_descripció";"DEPARTAMENT";"	DEPARTAMENT_descripció"
"1";"Alcaldia";"10";"Presidència";"100";"Presidència"
"1";"Alcaldia";"11";"Oficina defensor ciutadania";"110";"Oficina defensor ciutadania"
"1";"Alcaldia";"12";"Dinamització del territori";"120";"Dinamització del territori"
"1";"Alcaldia";"13";"Gestió documental, arxius i publicacions";"130";"Gestió documental, arxius i publicacions"
"1";"Alcaldia";"17";"UMAT";"170";"UMAT"
"2";"Cultura, benestar social i ciutadania";"20";"Educació";"200";"Educació"
"2";"Cultura, benestar social i ciutadania";"20";"Esports";"201";"Esports"
"2";"Cultura, benestar social i ciutadania";"50";"Cultura";"500";"Serveis centrals cultura"
"2";"Cultura, benestar social i ciutadania";"50";"Cultura";"501";"Humanitats i lectura pública"
"2";"Cultura, benestar social i ciutadania";"50";"Cultura";"502";"Patrimoni i museus"
"2";"Cultura, benestar social i ciutadania";"50";"Cultura";"503";"Arts escèniques"
"2";"Cultura, benestar social i ciutadania";"50";"Cultura";"504";"Centre cultural la mercè"
"2";"Cultura, benestar social i ciutadania";"50";"Cultura";"505";"Arts visuals i audiovisuals"
"2";"Cultura, benestar social i ciutadania";"50";"Cultura";"506";"Arts musicals"
"2";"Cultura, benestar social i ciutadania";"15";"Joventut";"150";"Joventut"
"2";"Cultura, benestar social i ciutadania";"14";"Serveis socials i habitatge";"140";"Serveis centrals serveis socials"
"2";"Cultura, benestar social i ciutadania";"14";"Serveis socials i habitatge";"141";"Serveis socials atenció primària"
"2";"Cultura, benestar social i ciutadania";"14";"Serveis socials i habitatge";"142";"Serveis socials especialitzats"
"2";"Cultura, benestar social i ciutadania";"14";"Serveis socials i habitatge";"143";"Centres cívics"
"2";"Cultura, benestar social i ciutadania";"14";"Serveis socials i habitatge";"144";"Habitatge"
"3";"Urbanisme, activitats, mobilitat i via pública";"30";"Urbanisme";"300";"Urbanisme"
"3";"Urbanisme, activitats, mobilitat i via pública";"31";"Mobilitat i via pública";"310";"Mobilitat i via pública"
"4";"Hisenda i règim interior";"40";"Hisenda";"400";"Hisenda"
"4";"Hisenda i règim interior";"41";"Règim interior";"410";"Administració General"
"4";"Hisenda i règim interior";"41";"Règim interior";"411";"Patrimoni"
"4";"Hisenda i règim interior";"41";"Règim interior";"412";"Recursos humans"
"4";"Hisenda i règim interior";"41";"Règim interior";"413";"Sistemes i tecnologies de la informació"
"4";"Hisenda i règim interior";"41";"Règim interior";"414";"Registre"
"6";"Promoció econòmica i tursime";"60";"Promoció econòmica i tursime";"600";"Promoció econòmica"
"6";"Promoció econòmica i tursime";"60";"Promoció econòmica i tursime";"601";"Turisme"
"6";"Promoció econòmica i tursime";"60";"Promoció econòmica i tursime";"602";"Empresa"
"6";"Promoció econòmica i tursime";"60";"Promoció econòmica i tursime";"603";"Comerç"
"6";"Promoció econòmica i tursime";"16";"Ocupació";"160";"Ocupació"
"7";"Sostenibilitat, participació, seguretat i cooperació";"70";"Sostenibilitat";"700";"Serveis centrals sostenibilitat"
"7";"Sostenibilitat, participació, seguretat i cooperació";"71";"Paisatge i hàbitat urbà";"710";"Paisatge i hàbitat urbà"
"7";"Sostenibilitat, participació, seguretat i cooperació";"72";"Salut i prevencíó de riscos";"720";"Salut"
"7";"Sostenibilitat, participació, seguretat i cooperació";"72";"Salut i prevencíó de riscos";"721";"Prevenció de riscos"
"7";"Sostenibilitat, participació, seguretat i cooperació";"73";"Associacions, participació i cooperació";"730";"Associacions, participació i cooperació"
"7";"Sostenibilitat, participació, seguretat i cooperació";"74";"Serveis urbans";"740";"Serveis urbans"
"7";"Sostenibilitat, participació, seguretat i cooperació";"75";"Seguretat";"750";"Seguretat"
