"ÀREA	";"ÀREA_descripció";"UNITAT";"UNITAT_descripció";"DEPARTAMENT";"	DEPARTAMENT_descripció"
"1";"ALCALDIA";"10";"PRESIDÈNCIA";"100";"PRESIDENCIA"
"1";"ALCALDIA";"11";"OFICINA DEFENSOR DE LA CIUTADANIA";"110";"OFICINA DEFENSOR DE LA CIUTADANIA"
"1";"ALCALDIA";"12";"UMAT";"120";"UMAT"
"1";"ALCALDIA";"13";"GESTIÓ DOCUMENTAL, ARXIUS I PUBLICACIONS";"130";"GESTIÓ DOCUMENTAL, ARXIU I PUBLICACIONS"
"1";"ALCALDIA";"14";"DRETS SOCIALS";"140";"SERVEIS SOCIALS"
"1";"ALCALDIA";"14";"DRETS SOCIALS";"141";"SERVEIS SOCIALS ATENCIÓ PRIMÀRIA"
"1";"ALCALDIA";"14";"DRETS SOCIALS";"142";"SERVEIS SOCIALS ESPECIALITZATS"
"1";"ALCALDIA";"14";"DRETS SOCIALS";"143";"CENTRES CÍVICS"
"1";"ALCALDIA";"14";"DRETS SOCIALS";"144";"HABITATGE"
"1";"ALCALDIA";"14";"DRETS SOCIALS";"145";"COOPERACIÓ"
"1";"ALCALDIA";"15";"SEGURETAT CIUTADANA";"150";"SEGURETAT CIUTADANA"
"1";"ALCALDIA";"16";"SALUT";"160";"SALUT"
"3";"TERRITORI";"30";"URBANISME I ACTIVITATS";"300";"URBANISME I ACTIVITATS"
"3";"TERRITORI";"31";"MOBILITAT I VIA PÚBLICA";"310";"MOBILITAT I VIA PÚBLICA"
"3";"TERRITORI";"32";"MEDI AMBIENT";"320";"SOSTENIBILITAT"
"3";"TERRITORI";"32";"MEDI AMBIENT";"321";"PARCS I JARDINS, PROTECCIÓ DEL MEDI"
"3";"TERRITORI";"32";"MEDI AMBIENT";"322";"SERVEIS URBANS"
"3";"TERRITORI";"32";"MEDI AMBIENT";"323";"QUALITAT AMBIENTAL I PROTECCIÓ DE LA SALUT"
"4";"HISENDA I RÈGIM INTERIOR";"40";"HISENDA";"400";"HISENDA"
"4";"HISENDA I RÈGIM INTERIOR";"41";"RÈGIM INTERIOR";"410";"RÈGIM INTERIOR"
"4";"HISENDA I RÈGIM INTERIOR";"41";"RÈGIM INTERIOR";"411";"PATRIMONI"
"4";"HISENDA I RÈGIM INTERIOR";"41";"RÈGIM INTERIOR";"412";"RECURSOS HUMANS"
"4";"HISENDA I RÈGIM INTERIOR";"41";"RÈGIM INTERIOR";"413";"SERVEI DE SISTEMES I TECNOLOGIES DE LA INFORMACIÓ"
"4";"HISENDA I RÈGIM INTERIOR";"41";"RÈGIM INTERIOR";"414";"REGISTRE GENERAL, ESTADÍSTICA I OIAC"
"5";"ÀREA DRET A LES PERSONES";"50";"CULTURA";"500";"CULTURA"
